model,eval_users,eval_time_s,precision@10,recall@10,ndcg@10,hit_ratio@10,map@10,rmse
popularity,28,0.2,0.06785714285714285,0.03349618635332922,0.07325488103237275,0.2857142857142857,0.041274092970521536,
svd,28,0.8,0.05714285714285715,0.0176503205183685,0.05879626785028291,0.35714285714285715,0.022831632653061228,0.9174
ncf,28,0.2,0.08571428571428572,0.03208674956535988,0.08917116104723641,0.32142857142857145,0.049462868480725626,
content,28,0.0,0.0,0.0,0.0,0.0,0.0,
hybrid,28,0.3,0.08571428571428572,0.03208674956535988,0.08500006348252265,0.32142857142857145,0.0461295351473923,
